scenario,implementation,peer_count,repetition,seed,modeled_resource_cost_total,modeled_resource_cost_per_delivered_message,delivered,duplicates,duplicate_ratio,delivery_ratio,bytes_sent,bytes_received,cpu,memory_mb
energy-scaling,gossipsub,10,1,4242,66.1667467174,0.353832870147,187,10,0.0542543178958,0.93963221446,215911,202876,52.0485428996,0.700172424316
energy-scaling,heuristic,10,1,4242,66.1667467174,0.353832870147,187,10,0.0542543178958,0.93963221446,215911,202876,52.0485428996,0.761489868164
energy-scaling,fl,10,1,4242,64.8632544158,0.346862323079,187,10,0.0526407611756,0.93963221446,215580,202565,52.0485428996,1.36056518555
energy-scaling,fedgreen,10,1,4242,64.8630915658,0.346861452224,187,10,0.0526405488432,0.93963221446,215580,202565,52.0485428996,1.96069335938
energy-scaling,trustaware,10,1,4242,64.8632475788,0.346862286518,187,10,0.0526407519433,0.93963221446,215580,202565,52.0485428996,2.5668182373
energy-scaling,gossipsub,10,2,4243,66.4926013115,0.355575408083,187,11,0.0560252780638,0.939945057353,216273,203284,52.9192161782,2.62621307373
energy-scaling,heuristic,10,2,4243,66.4926013115,0.355575408083,187,11,0.0560252780638,0.939945057353,216273,203284,52.9192161782,2.68753051758
energy-scaling,fl,10,2,4243,65.1891175173,0.348604906509,187,10,0.0544117335882,0.939945057353,215943,202974,52.9192161782,3.28660583496
energy-scaling,fedgreen,10,2,4243,65.1889550859,0.348604037892,187,10,0.0544115212086,0.939945057353,215943,202974,52.9192161782,1.00967407227
energy-scaling,trustaware,10,2,4243,65.1891092338,0.348604862213,187,10,0.0544117228071,0.939945057353,215943,202974,52.9192161782,1.61582946777
energy-scaling,gossipsub,10,3,4244,66.1213855813,0.353590297226,187,11,0.0588242844389,0.939705357697,216847,203772,52.0415782964,1.6752243042
energy-scaling,heuristic,10,3,4244,66.1213855813,0.353590297226,187,11,0.0588242844389,0.939705357697,216847,203772,52.0415782964,1.73654174805
energy-scaling,fl,10,3,4244,64.8178923583,0.346619745231,187,11,0.057210727004,0.939705357697,216516,203461,52.0415782964,2.33561706543
energy-scaling,fedgreen,10,3,4244,64.8177006599,0.346618720106,187,11,0.0572104770582,0.939705357697,216516,203461,52.0415782964,2.93574523926
