scenario,metric,implementation,mean,stddev,baseline_value,percentage_difference
duplicate,Duplicate Ratio,Standard GossipSub,0.25925925925925924,0.0,0.25925925925925924,0.0
duplicate,Duplicate Ratio,FedGreenSub,0.22879177377892032,0.0,0.25925925925925924,-11.7517443995593
duplicate,Duplicate Ratio,Trust-Aware FedGreenSub,0.21052631578947367,0.0,0.25925925925925924,-18.796992481203006
duplicate,Delivery Ratio,Standard GossipSub,1.0,0.0,1.0,0.0
duplicate,Delivery Ratio,FedGreenSub,1.0,0.0,1.0,0.0
duplicate,Delivery Ratio,Trust-Aware FedGreenSub,1.0,0.0,1.0,0.0
duplicate,Estimated Energy per Delivered Message,Standard GossipSub,0.0005084656355095407,3.2907469063724752e-09,0.0005084656355095407,0.0
duplicate,Estimated Energy per Delivered Message,FedGreenSub,0.0004822140004026393,3.2907469064108076e-09,0.0005084656355095407,-5.162912353082467
duplicate,Estimated Energy per Delivered Message,Trust-Aware FedGreenSub,0.000467340566214174,3.29074690644914e-09,0.0005084656355095407,-8.088072511361483
duplicate,Go Heap Memory (MB),Standard GossipSub,0.5438194274902344,0.026957798657143997,0.5438194274902344,0.0
duplicate,Go Heap Memory (MB),FedGreenSub,0.5514259338378906,0.026957798657143997,0.5438194274902344,1.3987191268176686
duplicate,Go Heap Memory (MB),Trust-Aware FedGreenSub,0.5761528015136719,0.026957798657143997,0.5438194274902344,5.945608484908003
duplicate,Average Latency (ms),Standard GossipSub,20.0,0.0,20.0,0.0
duplicate,Average Latency (ms),FedGreenSub,20.0,0.0,20.0,0.0
duplicate,Average Latency (ms),Trust-Aware FedGreenSub,20.0,0.0,20.0,0.0
duplicate,Average TrustScore,Standard GossipSub,0.0,0.0,0.0,
duplicate,Average TrustScore,FedGreenSub,0.0,0.0,0.0,
duplicate,Average TrustScore,Trust-Aware FedGreenSub,0.546139705882353,0.0,0.0,
duplicate,Minimum TrustScore,Standard GossipSub,0.0,0.0,0.0,
duplicate,Minimum TrustScore,FedGreenSub,0.0,0.0,0.0,
duplicate,Minimum TrustScore,Trust-Aware FedGreenSub,0.5055147058823529,0.0,0.0,
duplicate,Trust Variance,Standard GossipSub,0.0,0.0,0.0,
duplicate,Trust Variance,FedGreenSub,0.0,0.0,0.0,
duplicate,Trust Variance,Trust-Aware FedGreenSub,0.0008886718750000005,0.0,0.0,
duplicate,Trusted Peer Ratio,Standard GossipSub,0.0,0.0,0.0,
duplicate,Trusted Peer Ratio,FedGreenSub,0.0,0.0,0.0,
duplicate,Trusted Peer Ratio,Trust-Aware FedGreenSub,0.0,0.0,0.0,
duplicate,Trust Update Time (us),Standard GossipSub,0.0,0.0,0.0,
duplicate,Trust Update Time (us),FedGreenSub,0.0,0.0,0.0,
duplicate,Trust Update Time (us),Trust-Aware FedGreenSub,20.0,0.0,0.0,
duplicate,Peer Ranking Time (us),Standard GossipSub,0.0,0.0,0.0,
duplicate,Peer Ranking Time (us),FedGreenSub,0.0,0.0,0.0,
duplicate,Peer Ranking Time (us),Trust-Aware FedGreenSub,0.0,0.0,0.0,
duplicate,Trust Aggregation Time (us),Standard GossipSub,0.0,0.0,0.0,
duplicate,Trust Aggregation Time (us),FedGreenSub,0.0,0.0,0.0,
duplicate,Trust Aggregation Time (us),Trust-Aware FedGreenSub,0.0,0.0,0.0,
normal,Duplicate Ratio,Standard GossipSub,0.0196078431372549,0.0,0.0196078431372549,0.0
normal,Duplicate Ratio,FedGreenSub,0.01671583087512291,0.0,0.0196078431372549,-14.749262536873161
normal,Duplicate Ratio,Trust-Aware FedGreenSub,0.015069437604648872,0.0,0.0196078431372549,-23.14586821629075
normal,Delivery Ratio,Standard GossipSub,1.0,0.0,1.0,0.0
normal,Delivery Ratio,FedGreenSub,1.0,0.0,1.0,0.0
normal,Delivery Ratio,Trust-Aware FedGreenSub,1.0,0.0,1.0,0.0
normal,Estimated Energy per Delivered Message,Standard GossipSub,1.0352021812647581e-05,2.2075001338316543e-10,1.0352021812647581e-05,0.0
normal,Estimated Energy per Delivered Message,FedGreenSub,1.0306903179362418e-05,2.2075001338316543e-10,1.0352021812647581e-05,-0.4358436844678984
normal,Estimated Energy per Delivered Message,Trust-Aware FedGreenSub,1.0281410728812219e-05,2.2075001338316543e-10,1.0352021812647581e-05,-0.6820994498784164
normal,Go Heap Memory (MB),Standard GossipSub,0.6054229736328125,0.06027947032112652,0.6054229736328125,0.0
