scenario,implementation,peers,repetition,cpu,memory,bytes_sent,bytes_received,delivery_ratio,duplicate_ratio,latency_avg,latency_p95,mesh_degree,energy,energy_per_delivered_message,average_trust,minimum_trust,trust_variance,trusted_peer_ratio,trust_update_time,peer_ranking_time,fl_rounds,training_loss,global_loss,training_time,aggregation_time
normal,gossipsub,20,1,0,0.5291748046875,10444800,10444800,1,0.0196078431372549,20,30,8,0.1035174258351326,1.035174258351326e-05,0,0,0,0,0,0,0,1,1,0,0
normal,fedgreen,20,1,0,0.5367813110351562,10414079,10414079,1,0.01671583087512291,20,30,8,0.10306623950228096,1.0306623950228096e-05,0,0,0,0,0,0,3,0.25,0.25,0.30000000000000004,0
normal,trustaware,20,1,0,0.5615081787109375,10396672,10396672,1,0.015069437604648872,20,30,8,0.10281131499677897,1.0281131499677897e-05,0.546139705882353,0.5055147058823529,0.0008886718750000005,0,20,0,3,0.25,0.25,0.30000000000000004,0.06
normal,gossipsub,20,2,0,0.5672988891601562,10444800,10444800,1,0.0196078431372549,20,30,8,0.10351882198080421,1.035188219808042e-05,0,0,0,0,0,0,0,1,1,0,0
normal,fedgreen,20,2,0,0.5749053955078125,10414079,10414079,1,0.01671583087512291,20,30,8,0.10306763564795256,1.0306763564795255e-05,0,0,0,0,0,0,3,0.25,0.25,0.30000000000000004,0
normal,trustaware,20,2,0,0.5996322631835938,10396672,10396672,1,0.015069437604648872,20,30,8,0.10281271114245058,1.0281271114245058e-05,0.546139705882353,0.5055147058823529,0.0008886718750000004,0,20,0,3,0.25,0.25,0.30000000000000004,0.06
normal,gossipsub,20,3,0,0.6054229736328125,10444800,10444800,1,0.0196078431372549,20,30,8,0.10352021812647581,1.0352021812647581e-05,0,0,0,0,0,0,0,1,1,0,0
normal,fedgreen,20,3,0,0.6130294799804688,10414079,10414079,1,0.01671583087512291,20,30,8,0.10306903179362417,1.0306903179362418e-05,0,0,0,0,0,0,3,0.25,0.25,0.30000000000000004,0
normal,trustaware,20,3,0,0.63775634765625,10396672,10396672,1,0.015069437604648872,20,30,8,0.10281410728812218,1.0281410728812219e-05,0.546139705882353,0.5055147058823529,0.0008886718750000004,0,20,0,3,0.25,0.25,0.30000000000000004,0.06
normal,gossipsub,20,4,0,0.6435470581054688,10444800,10444800,1,0.0196078431372549,20,30,8,0.10352161427214743,1.0352161427214742e-05,0,0,0,0,0,0,0,1,1,0,0
normal,fedgreen,20,4,0,0.651153564453125,10414079,10414079,1,0.01671583087512291,20,30,8,0.10307042793929577,1.0307042793929577e-05,0,0,0,0,0,0,3,0.25,0.25,0.30000000000000004,0
normal,trustaware,20,4,0,0.6758804321289062,10396672,10396672,1,0.015069437604648872,20,30,8,0.1028155034337938,1.028155034337938e-05,0.546139705882353,0.5055147058823529,0.0008886718750000005,0,20,0,3,0.25,0.25,0.30000000000000004,0.06
normal,gossipsub,20,5,0,0.681671142578125,10444800,10444800,1,0.0196078431372549,20,30,8,0.10352301041781903,1.0352301041781903e-05,0,0,0,0,0,0,0,1,1,0,0
normal,fedgreen,20,5,0,0.6892776489257812,10414079,10414079,1,0.01671583087512291,20,30,8,0.10307182408496739,1.0307182408496739e-05,0,0,0,0,0,0,3,0.25,0.25,0.30000000000000004,0
normal,trustaware,20,5,0,0.7140045166015625,10396672,10396672,1,0.015069437604648872,20,30,8,0.1028168995794654,1.028168995794654e-05,0.546139705882353,0.5055147058823529,0.0008886718750000005,0,20,0,3,0.25,0.25,0.30000000000000004,0.06
