peer_count,comparison,n_seeds,cost_per_delivered_reduction_percent,resource_cost_reduction_percent,resource_cost_paired_mean_diff,resource_cost_paired_sd_diff,resource_cost_se_diff,resource_cost_ci95_lower,resource_cost_ci95_upper,resource_cost_t_statistic,resource_cost_p_value,resource_cost_cohens_dz,duplicate_ratio_reduction_percent,duplicate_ratio_paired_mean_diff,duplicate_ratio_paired_sd_diff,duplicate_ratio_se_diff,duplicate_ratio_ci95_lower,duplicate_ratio_ci95_upper,duplicate_ratio_t_statistic,duplicate_ratio_p_value,duplicate_ratio_cohens_dz,latency_ms_reduction_percent,latency_ms_paired_mean_diff,latency_ms_paired_sd_diff,latency_ms_se_diff,latency_ms_ci95_lower,latency_ms_ci95_upper,latency_ms_t_statistic,latency_ms_p_value,latency_ms_cohens_dz,delivery_ratio_difference,delivery_ratio_paired_mean_diff,delivery_ratio_paired_sd_diff,delivery_ratio_se_diff,delivery_ratio_ci95_lower,delivery_ratio_ci95_upper,delivery_ratio_t_statistic,delivery_ratio_p_value,delivery_ratio_cohens_dz
10,FedGreenSub_vs_GossipSub,5,0.417996107928269,0.41799611894467953,0.2822804120000001,1.3208217137832497e-06,5.906894276354235e-07,0.28227877198323004,0.28228205201677015,477882.95979833417,1.150442907302188e-22,213715.75667957487,5.345850972747046,0.005181482749999994,1.6713318021977637e-09,7.474423045342863e-10,0.005181480674767466,0.005181484825232521,6932284.563727569,2.5980393417070692e-27,3100211.904773463,1.9900180864023886,0.8494193199999984,0.044806685014517976,0.020038158707776667,0.7937844723386154,0.9050541676613815,42.39008845011018,1.8513324778389304e-06,18.95742386933501,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,Trust-Aware_vs_GossipSub,5,0.4179751904130482,0.4179751895535749,0.2822662779999973,6.085803105928106e-07,2.7216538885069195e-07,0.28226552234773566,0.28226703365225897,1037113.0553813607,5.186171154070936e-24,463811.0584370454,5.34583222841744,0.005181464581999995,8.358947290076046e-10,3.7382348721895384e-10,0.005181463544099604,0.005181465619900387,13860725.072539747,1.6255766518118262e-28,6198704.695926916,1.989995679880032,0.8494097559999986,0.04480639522834177,0.02003802911145888,0.7937752681556777,0.9050442438443195,42.38988531632873,1.8513678989985703e-06,18.957333025146244,0.0,0.0,0.0,0.0,0.0,0.0,,,
25,FedGreenSub_vs_GossipSub,5,1.8776519841408945,1.8776519895415313,1.3035263060000006,1.146091313955141e-05,5.125476172851497e-06,1.3035120753967686,1.3035405366032327,254322.96669419485,1.4341973849662502e-21,113736.68835352693,1.564928172563907,0.001613098980000005,1.4533306575105146e-08,6.4994922879559514e-09,0.001613080934516456,0.0016131170254835541,248188.4597338778,1.5813387567130719e-21,110993.25343918403,1.8559934472461788,0.8950342799999973,0.029144721881676983,0.013033915862551064,0.8588463281018576,0.931222231898137,68.66963769281358,2.6945018278687735e-07,30.709995574282598,0.0,0.0,0.0,0.0,0.0,0.0,,,
25,Trust-Aware_vs_GossipSub,5,1.87736393365088,1.877363941788367,1.3033263340000019,4.722989520152066e-06,2.1121851248158263e-06,1.3033204696339509,1.3033321983660529,617051.1849020083,4.1387242140131254e-23,275953.6790075365,1.5646721338158605,0.0016128350600000008,6.083420088206137e-09,2.7205881705833376e-09,0.0016128275064362914,0.0016128426135637102,592825.8739926019,4.85783376743759e-23,265119.79061363643,1.855711799104166,0.8948984579999987,0.029144239772716646,0.013033700256869488,0.8587111047191982,0.9310858112807991,68.66035280566908,2.695958595172674e-07,30.70584324651889,0.0,0.0,0.0,0.0,0.0,0.0,,,
50,FedGreenSub_vs_GossipSub,5,1.8745694230573757,1.874569417057799,1.3035045420000018,4.121136980477351e-06,1.8430284865871158e-06,1.3034994249325815,1.303509659067422,707262.2867668236,2.3978899464267582e-23,316297.31022651354,1.5618951622782054,0.0016122025600000007,5.202211066012291e-09,2.3264995153810256e-09,0.001612196100601809,0.0016122090193981923,692973.5206654277,2.6018645878738557e-23,309907.1797630503,1.8356756250000124,0.8928726240000003,0.014466048249196074,0.006469413450198847,0.874910652692695,0.9108345953073057,138.01446311528542,1.653106616999789e-08,61.72194428078313,0.0,0.0,0.0,0.0,0.0,0.0,,,
50,Trust-Aware_vs_GossipSub,5,1.8742725555727615,1.8742725530245665,1.3032981140000004,2.6783259704146733e-06,1.1977837871500599e-06,1.3032947884190675,1.3033014395809333,1088091.2965945175,4.2804546916790654e-24,486609.22098224534,1.5616338392835103,0.0016119328200000032,3.5478162237918207e-09,1.5866316496150236e-09,0.0016119284148043258,0.0016119372251956806,1015946.4677205441,5.63206880261586e-24,454345.0726647865,1.8353881661184166,0.8927328040000007,0.014464376217914703,0.006468665695077717,0.8747729087937413,0.9106926992062601,138.00880213663214,1.6533778211349196e-08,61.719412614165535,0.0,0.0,0.0,0.0,0.0,0.0,,,
100,FedGreenSub_vs_GossipSub,5,1.8610860533818652,1.8610860577294643,1.303722769999999,3.896068528404455e-06,1.7423748149019863e-06,1.3037179323919728,1.303727607608025,748244.7283154385,1.9141527312266793e-23,334625.2152638364,1.5364162222407656,0.0016107223800000015,4.927169574145505e-09,2.2034972208916078e-09,0.0016107162621109283,0.0016107284978890747,730984.5298321956,2.10144731745223e-23,326906.21984110243,1.7926821510826296,0.8997901960000021,0.010786677493114056,0.004823948825194009,0.8863967668965675,0.9131836251034366,186.52565120522692,4.955800072206971e-09,83.4168071284606,0.0,0.0,0.0,0.0,0.0,0.0,,,
100,Trust-Aware_vs_GossipSub,5,1.8607273239107542,1.8607273227766816,1.3034714699999967,2.946616704156527e-06,1.317767050826076e-06,1.3034678112921187,1.3034751287078747,989151.6631736102,6.267577432562723e-24,442362.0717826336,1.5361118430239524,0.0016104032800000028,3.8835550728533475e-09,1.7367786274528466e-09,0.001610398457929484,0.0016104081020705218,927235.7769405617,8.116906234901198e-24,414672.44568178564,1.7923397406778914,0.8996183320000029,0.010783951525675475,0.004822729735494586,0.8862282876321971,0.9130083763678086,186.53716491283836,4.954576747391512e-09,83.42195621503903,0.0,0.0,0.0,0.0,0.0,0.0,,,
200,FedGreenSub_vs_GossipSub,5,1.8618455858246323,1.8618455957040405,1.3037223359999985,1.7504942198902372e-06,7.828448139790069e-07,1.3037201624743466,1.3037245095256504,1665364.9774768255,7.800340150718314e-25,744773.8593971175,1.5349298142054486,0.0016107217599999973,2.3017384727644454e-09,1.0293687383055696e-09,0.0016107189020142024,0.001610724617985792,1564766.5409495386,1.00081324872375e-24,699784.8708960754,1.7940069750118521,0.9007314339999979,0.007210880856271176,0.0032248039544548477,0.8917779428454292,0.9096849251545666,279.3135479617912,9.85703126263666e-10,124.91281605584257,0.0,0.0,0.0,0.0,0.0,0.0,,,
200,Trust-Aware_vs_GossipSub,5,1.8614886543316778,1.8614886650108358,1.303472402,2.6911651727294877e-06,1.2035256529806194e-06,1.3034690604770918,1.303475743522908,1083044.9677344684,4.36079122613059e-24,484352.4341086675,1.534627444645318,0.001610404459999998,3.566931451915646e-09,1.5951802395130813e-09,0.00161040003106963,0.0016104088889303658,1009543.8873362446,5.7763092495854675e-24,451481.7516706464,1.7936661674082734,0.9005603220000011,0.007209996696032547,0.003224408545975533,0.8916079286753694,0.9095127153246328,279.29473240108285,9.859687616157004e-10,124.90440148128687,0.0,0.0,0.0,0.0,0.0,0.0,,,
