implementation,peer_count,n_seeds,delivery_ratio_mean,delivery_ratio_stddev,delivery_ratio_minimum,delivery_ratio_maximum,delivery_ratio_se,delivery_ratio_t_crit_975,delivery_ratio_ci95_lower,delivery_ratio_ci95_upper,duplicate_ratio_mean,duplicate_ratio_stddev,duplicate_ratio_minimum,duplicate_ratio_maximum,duplicate_ratio_se,duplicate_ratio_t_crit_975,duplicate_ratio_ci95_lower,duplicate_ratio_ci95_upper,latency_ms_mean,latency_ms_stddev,latency_ms_minimum,latency_ms_maximum,latency_ms_se,latency_ms_t_crit_975,latency_ms_ci95_lower,latency_ms_ci95_upper,resource_cost_total_mean,resource_cost_total_stddev,resource_cost_total_minimum,resource_cost_total_maximum,resource_cost_total_se,resource_cost_total_t_crit_975,resource_cost_total_ci95_lower,resource_cost_total_ci95_upper,resource_cost_per_delivered_mean,resource_cost_per_delivered_stddev,resource_cost_per_delivered_minimum,resource_cost_per_delivered_maximum,resource_cost_per_delivered_se,resource_cost_per_delivered_t_crit_975,resource_cost_per_delivered_ci95_lower,resource_cost_per_delivered_ci95_upper
GossipSub,10,5,0.93886210086,0.0012391008234852252,0.9373926078,0.9399450574,0.0005541427344577862,2.7764451051977934,0.9373235539773338,0.9404006477426662,0.096925312292,0.0019764718360088824,0.0942543179,0.0989183862,0.0008839050761859355,2.7764451051977934,0.09447119836976407,0.09937942621423591,42.684,1.0466518045653979,41.16,44.1,0.4680769167562108,2.7764451051977934,41.38441013561614,43.98358986438385,67.531826064,0.2017417843940333,67.32138558,67.78472551,0.09022166876143294,2.7764451051977934,67.28133055338455,67.78232157461545,0.3611327597,0.0010788331076977404,0.3600074095,0.3624851632,0.00048246883303789984,2.7764451051977934,0.3597932114701014,0.36247230792989854
FedGreenSub,10,5,0.93886210086,0.0012391008234852252,0.9373926078,0.9399450574,0.0005541427344577862,2.7764451051977934,0.9373235539773338,0.9404006477426662,0.091743829542,0.001976470761290766,0.08907283603,0.09373690366,0.0008839045955573824,2.7764451051977934,0.08928971695420287,0.09419794212979712,41.83458068,1.0311446187717772,40.35438669,43.25438582,0.4611418924413599,2.7764451051977934,40.55424552992954,43.114915830070466,67.24954565200001,0.20174248552588878,67.03910314,67.50244521,0.09022198231713094,2.7764451051977934,66.99904927081437,67.50004203318565,0.35962323882,0.0010788368312809184,0.3584978778,0.3609756429,0.000482470498274921,2.7764451051977934,0.35828368596666227,0.3609627916733378
Trust-Aware,10,5,0.93886210086,0.0012391008234852252,0.9373926078,0.9399450574,0.0005541427344577862,2.7764451051977934,0.9373235539773338,0.9404006477426662,0.09174384771,0.0019764721329213956,0.08907285237,0.09373692256,0.0008839052089692481,2.7764451051977934,0.0892897334190985,0.09419796200090151,41.834590244000005,1.031144968427503,40.35439514,43.25439538,0.46114204881215415,2.7764451051977934,40.554254659774614,43.114925828225395,67.249559786,0.2017423572972911,67.0391187,67.50245994,0.09022192497155872,2.7764451051977934,66.9990635640312,67.50005600796881,0.35962331436,0.0010788361201570804,0.358497961,0.3609757216,0.00048247018025067255,2.7764451051977934,0.3582837623896391,0.3609628663303609
GossipSub,25,5,0.92707185164,0.00019875847589649801,0.9267958772,0.9272652417,8.88874926417646e-05,2.7764451051977934,0.9268250603961415,0.9273186428838586,0.10307814814,0.0009625361519578936,0.1018550299,0.1041805925,0.00043045925331578345,2.7764451051977934,0.1018830016531443,0.10427329462685571,48.224,0.6983179791470365,47.464,49.04,0.31229729425661085,2.7764451051977934,47.35692370599472,49.091076294005276,69.423211184,0.34072896288501114,69.08114267,69.80230399,0.15237862458277754,2.7764451051977934,69.00014029764037,69.84628207035962,0.37526060098,0.0018417781743889894,0.373411582,0.3773097513,0.0008236682394818485,2.7764451051977934,0.3729737313281838,0.37754747063181626
FedGreenSub,25,5,0.92707185164,0.00019875847589649801,0.9267958772,0.9272652417,8.88874926417646e-05,2.7764451051977934,0.9268250603961415,0.9273186428838586,0.10146504915999999,0.0009625263022457891,0.1002419342,0.1025674883,0.00043045484839061854,2.7764451051977934,0.1002699149031772,0.10266018341682277,47.32896572,0.676897061253452,46.58194782,48.09865183,0.3027175685465115,2.7764451051977934,46.48848700855166,48.16944443144834,68.119684878,0.34073666639757566,67.7776189,68.49879387,0.15238206969832951,2.7764451051977934,67.69660442646617,68.54276532953384,0.36821451286,0.0018418197890992742,0.3663655076,0.3702637506,0.0008236868501460606,2.7764451051977934,0.3659275915366962,0.37050143418330383
Trust-Aware,25,5,0.92707185164,0.00019875847589649801,0.9267958772,0.9272652417,8.88874926417646e-05,2.7764451051977934,0.9268250603961415,0.9273186428838586,0.10146531308,0.0009625362759194948,0.1002421884,0.1025677578,0.0004304593087530968,2.7764451051977934,0.10027016643922564,0.10266045972077435,47.329101542000004,0.6768967571734485,46.58208749,48.09879053,0.30271743255779987,2.7764451051977934,46.488623208116856,48.16957987588315,68.11988484999999,0.34073361724851314,67.77781146,68.49898195,0.15238070607741405,2.7764451051977934,67.69680818448477,68.54296151551522,0.36821559379999996,0.0018418033093198125,0.3663665485,0.3702647673,0.0008236794801646345,2.7764451051977934,0.365928692939045,0.3705024946609549
GossipSub,50,5,0.9268835338400001,0.00031975466404843896,0.926531691,0.9273285826,0.00014299863298698352,2.7764451051977934,0.9264865059853934,0.9272805616946068,0.10322092026,0.0001712340758516179,0.1029333134,0.103339845,7.657820673371456e-05,2.7764451051977934,0.10300830507274936,0.10343353544725065,48.64,0.08569714114251538,48.524,48.752,0.038324926614411677,2.7764451051977934,48.533592945094355,48.746407054905646,69.53621083,0.19813546879060603,69.29955187,69.74561376,0.08860887539391663,2.7764451051977934,69.29019315163548,69.78222850836453,0.37587140990000006,0.0010710025255771056,0.3745921723,0.3770033176,0.00047896689025287304,2.7764451051977934,0.37454158462200565,0.3772012351779945
FedGreenSub,50,5,0.9268835338400001,0.00031975466404843896,0.926531691,0.9273285826,0.00014299863298698352,2.7764451051977934,0.9264865059853934,0.9272805616946068,0.10160871770000002,0.0001712358170825685,0.1013211088,0.1017276373,7.657898543586858e-05,2.7764451051977934,0.10139610035072559,0.10182133504927444,47.747127375999995,0.08458609609119046,47.63112999,47.85112521,0.03782805216224622,2.7764451051977934,47.64209986573496,47.852154886265026,68.23270628799999,0.19813861043543596,67.99604414,68.44211418,0.08861028038019679,2.7764451051977934,67.98668470876818,68.4787278672318,0.36882543938,0.0010710195089084524,0.3675461845,0.3699573739,0.0004789744854295482,2.7764451051977934,0.36749559301441453,0.3701552857455855
Trust-Aware,50,5,0.9268835338400001,0.00031975466404843896,0.926531691,0.9273285826,0.00014299863298698352,2.7764451051977934,0.9264865059853934,0.9272805616946068,0.10160898743999999,0.00017123322396511747,0.1013213831,0.1017279081,7.657782575848974e-05,2.7764451051977934,0.10139637331050615,0.10182160156949384,47.747267196,0.08458667353297168,47.63126841,47.85126528,0.037828310402061395,2.7764451051977934,47.6422389687463,47.85229542325371,68.23291271600002,0.1981380670949833,67.99625092,68.4423179,0.08861003739095938,2.7764451051977934,67.9868918114145,68.47893362058554,0.36882655521999996,0.0010710165735318719,0.3675473023,0.3699584751,0.0004789731726892335,2.7764451051977934,0.3674967124991659,0.37015639794083405
GossipSub,100,5,0.9238838599200001,0.00033365129664463574,0.9234649034,0.9243629389,0.0001492133960156706,2.7764451051977934,0.9234695771170025,0.9242981427229977,0.10483632994,0.00010148445219844189,0.1046907854,0.1049592952,4.5385226755008806e-05,2.7764451051977934,0.10471032034932777,0.10496233953067223,50.192400000000006,0.16910588398988313,49.968,50.404,0.0756264503993144,2.7764451051977934,49.982427311965345,50.40237268803467,70.051718704,0.19297339029085783,69.75950919,70.20001037,0.0863003237077912,2.7764451051977934,69.81211059266451,70.29132681533548,0.3807158625,0.0010487684423355383,0.3791277673,0.3815217955,0.0004690235059437664,2.7764451051977934,0.3794136444826997,0.3820180805173003
