peer_count,seed,implementation,round,previous_mesh,candidate_mesh,deployed_mesh,gossip_factor,heartbeat_ms,accepted,rejection_reason
10,4242,FedGreenSub,1,8,7,7,0.2484876511,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
10,4242,FedGreenSub,2,7,6,7,0.2484876511,993,false,vs run-start: delivery regression exceeds tolerance
10,4242,FedGreenSub,3,7,6,7,0.2484876511,993,false,vs run-start: delivery regression exceeds tolerance
10,4242,Trust-Aware,1,8,7,7,0.2484877873,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
10,4242,Trust-Aware,2,7,6,7,0.2484877873,993,false,vs run-start: delivery regression exceeds tolerance
10,4242,Trust-Aware,3,7,6,7,0.2484877873,993,false,vs run-start: delivery regression exceeds tolerance
10,4243,FedGreenSub,1,8,7,7,0.2484876589,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
10,4243,FedGreenSub,2,7,6,7,0.2484876589,993,false,vs run-start: delivery regression exceeds tolerance
10,4243,FedGreenSub,3,7,6,7,0.2484876589,993,false,vs run-start: delivery regression exceeds tolerance
10,4243,Trust-Aware,1,8,7,7,0.2484877987,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
10,4243,Trust-Aware,2,7,6,7,0.2484877987,993,false,vs run-start: delivery regression exceeds tolerance
10,4243,Trust-Aware,3,7,6,7,0.2484877987,993,false,vs run-start: delivery regression exceeds tolerance
10,4244,FedGreenSub,1,8,7,7,0.2484876218,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
10,4244,FedGreenSub,2,7,6,7,0.2484876218,993,false,vs run-start: delivery regression exceeds tolerance
10,4244,FedGreenSub,3,7,6,7,0.2484876218,993,false,vs run-start: delivery regression exceeds tolerance
10,4244,Trust-Aware,1,8,7,7,0.2484877883,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
10,4244,Trust-Aware,2,7,6,7,0.2484877883,993,false,vs run-start: delivery regression exceeds tolerance
10,4244,Trust-Aware,3,7,6,7,0.2484877883,993,false,vs run-start: delivery regression exceeds tolerance
10,4245,FedGreenSub,1,8,7,7,0.2484876415,993,true,vs run-start: accepted: objective improved or remained equal within tolerances
